"","objectID","spontaneous","yellowhammers","date","time","areasize","cuttingdate","type_lvl1","grass","spruce","shrubs","birch","raspberry","branches","bare","stones","trees","stubs","vegheight","edges","distfl10ha","distcc","farmland_250","clearcuts250","yh_occ","type1_num","year"
"35","1500140","0",0,2018-05-28,05:42:00,3414,2015-09-08,"forest",15,30,0,20,25,0,5,5,"no","yes",1,0.5,135.9748,13.78323,13489,76805,"0",2,2015
"36","1500141","0",0,2018-05-28,05:42:00,4854,2015-09-08,"forest",15,30,0,20,25,0,5,5,"no","yes",2,0.5,213.62357,115.23207,1311,71005,"0",2,2015
"37","1500152","0",0,2018-05-21,08:58:00,24902,2015-09-08,"forest",15,0,0,0,80,0,0,5,"no","yes",0.5,0.5,215.21357,11.85742,1905,56854,"0",2,2015
"38","1500534","0",0,2018-06-04,06:14:00,52166,2015-09-08,"forest",30,30,0,15,0,25,0,0,"no","yes",1,0.75,1482.48811,6.60833,0,83104,"0",2,2015
"39","1500542","0",0,2018-05-23,06:22:00,10459,2015-09-08,"forest",40,0,0,10,30,0,15,5,"no","yes",0.5,0.75,685.10546,40.67166,0,62500,"0",2,2015
"40","1500553","0",0,2018-05-21,05:30:00,26188,2015-09-08,"forest",60,0,0,30,5,0,0,5,"yes","yes",0.5,0.25,389.07877,9.12089,2579,99838,"0",2,2015
"41","1500564","0",0,2018-05-17,05:04:00,16342,2015-09-08,"forest",60,0,0,15,0,5,10,10,"yes","yes",0.5,1,169.48972,146.04166,9020,21735,"0",2,2015
"42","1500907","0",0,2018-05-29,07:15:00,4598,2015-09-08,"forest",70,5,0,20,0,0,0,5,"yes","yes",0.5,1,521.61952,25.31406,7010,29543,"0",2,2015
"43","1500919","0",0,2018-05-30,06:30:00,8009,2015-09-08,"forest",40,25,0,25,0,5,5,0,"yes","yes",1,0.5,43.32626,303.13664,22565,8679,"0",2,2015
"44","1500923","0",0,2018-05-18,08:44:00,96039,2015-09-08,"forest",60,10,0,15,0,0,5,10,"yes","yes",0.5,0.25,76.38641,116.20893,45074,125657,"0",2,2015
"45","1500937","0",0,2018-05-22,06:15:00,14005,2015-08-09,"forest",25,25,0,20,10,0,15,5,"no","no",1,0,220.34731,8.42313,1305,120587,"0",2,2015
"46","1500944","0",0,2018-05-24,05:48:00,12675,2014-07-08,"forest",25,10,0,35,10,5,5,10,"yes","yes",1,0.75,479.53544,38.68605,0,65015,"0",2,2014
"47","1500945","0",0,2018-05-16,07:45:00,21453,2015-08-23,"forest",60,0,0,20,10,5,0,5,"yes","yes",1,0.75,10.45617,146.74154,101577,2937,"0",2,2015
"48","1500972","0",0,2018-06-03,07:15:00,14162,2015-09-08,"forest",20,20,0,40,15,5,0,0,"yes","yes",1.5,1,214.82173,28.05925,1435,50850,"0",2,2015
"49","1501316","0",0,2018-05-30,07:55:00,5660,2015-09-08,"forest",60,20,0,15,0,0,0,5,"no","yes",0.5,0.75,64.45997,8.71738,55268,5000,"0",2,2015
"50","1501337","0",0,2018-05-23,06:16:00,27120,2015-09-08,"forest",50,5,0,15,5,10,10,5,"yes","no",0.5,0.75,803.01422,24.93131,0,82180,"0",2,2015
"51","1501342","0",0,2018-05-25,05:39:00,11027,2015-09-08,"forest",30,0,0,50,10,5,0,5,"no","yes",2,0.5,14.45877,830.88942,166960,21128,"0",2,2015
