"","objectID","spontaneous","yellowhammers","date","time","areasize","cuttingdate","type_lvl1","grass","spruce","shrubs","birch","raspberry","branches","bare","stones","trees","stubs","vegheight","edges","distfl10ha","distcc","farmland_250","clearcuts250","yh_occ","type1_num","year"
"36","946960","0",3,2018-05-21,05:59:00,28899,2013-06-03,"forest",50,25,0,0,25,0,0,0,"yes","no",1,0,5.95552,10.47672,165779,44828,"1",2,2013
"37","1256212","0",1,2018-05-21,05:25:00,29755,2014-07-09,"forest",10,20,0,60,5,0,0,5,"no","yes",2,0.25,590.00396,13.55093,3468,171428,"1",2,2014
"38","1256215","0",1,2018-05-25,05:45:00,8684,2014-05-22,"forest",60,0,10,10,0,20,0,0,"yes","no",1,0.75,70.60303,767.36767,143987,25352,"1",2,2014
"39","1256590","0",1,2018-05-21,08:38:00,32933,2014-07-09,"forest",20,20,0,40,10,5,0,5,"no","yes",1.5,0.25,251.78215,11.28686,92,116852,"1",2,2014
"40","1500105","0",2,2018-05-23,07:28:00,65727,2014-07-08,"forest",30,15,0,50,0,5,0,0,"yes","yes",1.5,1,211.03264,19.41193,4293,66556,"1",2,2014
"41","1500120","0",1,2018-05-23,06:49:00,10562,2015-09-07,"forest",25,25,0,40,0,5,0,5,"no","yes",1.5,0.5,952.1132,15.8138,0,107320,"1",2,2015
"42","1500126","0",1,2018-06-01,05:52:00,14943,2015-09-07,"forest",20,40,0,40,0,0,0,0,"no","yes",1.5,0.75,159.45312,250.32156,25680,28504,"1",2,2015
"43","1500573","0",1,2018-06-03,05:50:00,28461,2015-09-08,"forest",40,25,0,25,0,5,0,5,"yes","yes",1.5,0.75,139.01593,70.56509,42142,28547,"1",2,2015
"44","1500920","0",1,2018-05-30,06:23:00,8680,2015-09-08,"forest",35,20,0,40,0,0,0,5,"no","yes",1.5,0.75,18.01903,260.54547,49688,8008,"1",2,2015
"45","1501309","0",2,2018-05-29,07:20:00,21042,2015-09-08,"forest",70,15,0,5,0,5,0,5,"yes","yes",1,1,290.9323,17.66349,0,23773,"1",2,2015
"46","1501315","0",4,2018-05-17,07:19:00,59369,2015-09-08,"forest",40,0,0,30,10,10,0,10,"yes","yes",1,0.25,11.70753,140.25041,257692,15481,"1",2,2015
"47","1501338","0",1,2018-05-24,06:07:00,29003,2015-09-08,"forest",40,50,0,0,0,5,0,5,"no","yes",1.5,0.75,14.33043,9.06241,93835,29609,"1",2,2015
"48","1501347","0",1,2018-05-25,06:32:00,13762,2015-09-08,"forest",50,5,5,15,0,0,15,10,"yes","yes",0.5,0.5,13.23142,231.73652,55550,30138,"1",2,2015
"49","1502677","0",2,2018-05-28,08:36:00,5467,2015-09-08,"forest",40,0,0,25,10,10,15,0,"no","yes",0,1,71.009,407.26143,42452,21031,"1",2,2015
"50","1663421","0",1,2018-05-24,07:36:00,49297,2016-07-21,"forest",10,5,0,15,5,15,45,5,"yes","yes",0.2,0.5,9.0928,13.61752,147302,7714,"1",2,2016
"51","1736489","0",1,2018-05-31,07:37:00,19554,2017-05-27,"forest",40,5,10,20,20,5,0,0,"yes","yes",0.5,1,30.41381,3.83257,96938,12085,"1",2,2017
"52","1736490","0",1,2018-05-23,07:18:00,15321,2017-05-27,"forest",30,0,20,15,0,30,5,0,"yes","yes",0.5,1,69.12818,136.92242,29541,38468,"1",2,2017
"53","1736504","0",3,2018-05-18,05:49:00,12985,2017-05-27,"forest",25,0,20,25,0,20,0,10,"yes","yes",1.5,1,186.01522,190.4573,10711,5599,"1",2,2017
