objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	farmland_250	clearcuts250
1501337	0	0	0	23/05/2018	6:16:00 AM	27120	08/09/2015	forest	clearcut	50	5	0	15	5	10	10	5	100	yes	no	0.5	forest	clearcut	forest	forest	0.75	803.01422	24.93131	0	82180
1501338	0	1	0	24/05/2018	6:07:00 AM	29003	08/09/2015	forest	clearcut	40	50	0	0	0	5	0	5	100	no	yes	1.5	forest	forest	forest	clearcut	0.75	14.33043	9.06241	93835	29609
1501342	0	0	0	25/05/2018	5:39:00 AM	11027	08/09/2015	forest	clearcut	30	0	0	50	10	5	0	5	100	no	yes	2	forest	clearcut	forest	clearcut	0.5	14.45877	830.88942	166960	21128
1501343	0	0	0	25/05/2018	5:36:00 AM	2037	08/09/2015	forest	clearcut	40	0	10	20	20	0	10	0	100	yes	yes	1	open	forest	open	open	0.25	11.48805	743.28683	145424	30116
1501344	0	0	0	25/05/2018	5:30:00 AM	4402	08/09/2015	forest	clearcut	40	0	0	40	10	0	5	5	100	no	yes	1.5	open	forest	open	open	0.25	11.54653	795.13191	178012	24444
1501347	0	1	0	25/05/2018	6:32:00 AM	13762	08/09/2015	forest	clearcut	50	5	5	15	0	0	15	10	100	yes	yes	0.5	forest	forest	open	open	0.5	13.23142	231.73652	55550	30138
1501778	0	0	0	31/05/2018	5:32:00 AM	45406	08/09/2015	forest	clearcut	85	0	0	0	0	0	10	5	100	yes	yes	0.5	forest	clearcut	clearcut	forest	0.5	362.65242	35.76333	0	107922
1502178	0	0	0	28/05/2018	6:17:00 AM	9364	08/09/2015	forest	clearcut	50	0	0	10	30	5	0	5	100	yes	yes	1	forest	forest	open	open	0.5	8.09106	10.212	42928	66937
1502677	0	2	0	28/05/2018	8:36:00 AM	5467	08/09/2015	forest	clearcut	40	0	0	25	10	10	15	0	100	no	yes	0	forest	forest	forest	forest	1	71.009	407.26143	42452	21031
1502681	0	0	0	28/05/2018	8:18:00 AM	16968	08/09/2015	forest	clearcut	50	0	0	5	10	5	20	10	100	no	no	0.5	forest	forest	clearcut	forest	0.75	227.74343	125.8868	2236	53580
1574884	0	0	0	28/05/2018	8:10:00 AM	10822	21/07/2016	forest	clearcut	0	20	70	0	0	10	0	0	100	yes	no	3	forest	forest	forest	forest	1	256.75449	140.02693	16	35949
1574887	0	0	0	28/05/2018	6:45:00 AM	6805	21/07/2016	forest	clearcut	30	20	0	30	10	0	10	0	100	no	no	0.5	forest	forest	forest	forest	1	365.8096	332.88984	0	13642
1575185	0	0	0	28/05/2018	6:05:00 AM	11506	21/07/2016	forest	clearcut	15	20	0	15	0	0	45	5	100	no	yes	0.5	forest	forest	forest	clearcut	0.75	442.89153	46.1442	0	30857
1575186	0	0	0	16/05/2018	6:38:00 AM	19682	21/07/2016	forest	clearcut	30	15	0	15	10	20	0	10	100	yes	yes	0.5	forest	open	forest	forest	0.75	217.60056	157.47722	10638	14945
1575187	0	0	0	23/05/2018	6:22:00 AM	8287	21/07/2016	forest	clearcut	10	0	0	30	10	40	0	10	100	no	yes	1	forest	forest	clearcut	forest	0.75	583.07435	133.57564	0	40159
1575188	0	0	1	04/06/2018	6:32:00 AM	48118	21/07/2016	forest	clearcut	25	25	0	10	0	30	5	5	100	yes	yes	0.5	forest	clearcut	clearcut	forest	0.5	1684.49451	11.2652	0	136660
1663023	0	0	0	28/05/2018	7:02:00 AM	3559	21/07/2016	forest	clearcut	15	25	0	0	0	0	60	0	100	no	yes	0.5	forest	forest	forest	forest	1	461.67467	158.20251	1201	24570
1663029	0	0	0	28/05/2018	6:50:00 AM	10084	21/07/2016	forest	clearcut	60	0	10	5	0	0	20	5	100	yes	yes	0.5	forest	forest	forest	forest	1	184.52605	203.4227	9894	12631
1663414	0	0	0	04/06/2018	7:10:00 AM	11829	21/07/2016	forest	clearcut	15	0	0	10	0	15	55	5	100	no	yes	0.5	forest	forest	forest	open	0.75	1605.22834	286.17865	0	15944
1663415	0	0	0	04/06/2018	7:00:00 AM	9547	21/07/2016	forest	clearcut	40	5	0	0	0	0	50	5	100	yes	yes	0	forest	forest	forest	forest	1	1778.28961	268.43858	0	28416
1663416	0	0	0	20/05/2018	8:27:00 AM	13625	21/07/2016	forest	clearcut	10	5	0	5	0	10	60	10	100	no	yes	0	forest	forest	forest	forest	1	1954.67648	103.74709	0	19297
1663417	0	0	0	31/05/2018	6:40:00 AM	12892	21/07/2016	forest	clearcut	45	5	0	0	20	5	20	5	100	no	yes	0.2	forest	forest	forest	clearcut	0.75	203.82244	415.98976	3701	38444
1663421	0	1	2	24/05/2018	7:36:00 AM	49297	21/07/2016	forest	clearcut	10	5	0	15	5	15	45	5	100	yes	yes	0.2	open	forest	forest	open	0.5	9.0928	13.61752	147302	7714
1736480	0	0	0	16/05/2018	5:47:00 AM	20051	27/05/2017	forest	clearcut	50	0	0	0	0	20	20	10	100	yes	yes	0.2	forest	forest	forest	forest	1	439.50745	235.43138	0	957
1736483	0	0	0	25/05/2018	8:05:00 AM	18716	27/05/2017	forest	clearcut	70	0	0	0	0	5	20	5	100	no	yes	0.2	forest	forest	forest	forest	1	156.33586	38.11762	16751	51940
1736484	0	0	0	21/05/2018	6:21:00 AM	9995	27/05/2017	forest	clearcut	35	0	0	25	10	15	10	5	100	no	yes	0.5	forest	forest	clearcut	forest	0.75	8.14435	119.84873	106194	52667
1736485	0	0	0	15/05/2018	8:31:00 AM	13745	27/05/2017	forest	clearcut	30	10	0	10	0	40	10	0	100	no	yes	0.2	forest	forest	forest	forest	1	146.11351	430.32982	16693	3147
1736489	0	1	0	31/05/2018	7:37:00 AM	19554	27/05/2017	forest	clearcut	40	5	10	20	20	5	0	0	100	yes	yes	0.5	forest	forest	forest	forest	1	30.41381	3.83257	96938	12085
1736490	0	1	0	23/05/2018	7:18:00 AM	15321	27/05/2017	forest	clearcut	30	0	20	15	0	30	5	0	100	yes	yes	0.5	forest	forest	forest	forest	1	69.12818	136.92242	29541	38468
1736492	0	0	0	05/06/2018	6:18:00 AM	16794	27/05/2017	forest	clearcut	10	0	0	0	0	0	80	10	100	no	yes	0	forest	forest	forest	forest	1	740.83781	212.47876	27100	35495
1736493	0	0	0	05/06/2018	6:38:00 AM	6617	27/05/2017	forest	clearcut	0	0	30	0	0	30	30	10	100	yes	yes	1.5	forest	forest	forest	forest	1	892.86445	69.64117	33270	15435
1736504	0	3	0	18/05/2018	5:49:00 AM	12985	27/05/2017	forest	clearcut	25	0	20	25	0	20	0	10	100	yes	yes	1.5	forest	forest	forest	forest	1	186.01522	190.4573	10711	5599
