objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	farmland_250	clearcuts250
204	1	1	0	29/05/2018	6:19:00 AM	7582	NA	forest	plantation	0	80	0	20	0	0	0	0	100	no	yes	3	forest	forest	forest	clearcut	0.75	854.23091	11.45608	8555	48229
205	1	1	0	29/05/2018	5:13:00 AM	5550	NA	agriculture	pasture	70	0	20	0	5	0	0	5	100	yes	no	1	forest	forest	forest	clearcut	0.75	94.79321	4.51983	80675	7625
206	1	1	0	29/05/2018	5:27:00 AM	30305	NA	agriculture	pasture	90	0	5	0	0	0	0	5	100	yes	no	0.5	forest	hedge	forest	forest	0.875	4.28501	262.08243	273838	0
207	1	1	0	29/05/2018	5:30:00 AM	16925	NA	agriculture	pasture	95	0	5	0	0	0	0	0	100	no	no	0.5	hedge	hedge	hedge	hedge	0.5	6.24566	262.17669	193670	0
208	1	1	0	30/05/2018	6:59:00 AM	85629	NA	agriculture	arable	85	0	10	0	0	0	5	0	100	yes	no	0.5	forest	forest	open	hedge	0.625	7.28496	34.42567	199702	35744
209	1	1	0	30/05/2018	6:55:00 AM	15192	NA	agriculture	arable	100	0	0	0	0	0	0	0	100	no	no	0.2	hedge	hedge	hedge	open	0.375	14.75028	265.67965	103368	0
210	1	1	0	31/05/2018	5:20:00 AM	8497	NA	forest	plantation	0	100	0	0	0	0	0	0	100	yes	no	2	forest	forest	hedge	open	0.625	9.76363	111.75989	41112	24800
211	1	1	1	18/05/2018	9:16:00 AM	41579	NA	forest	clearcut	10	0	0	0	0	70	10	10	100	no	yes	1	clearcut	forest	clearcut	clearcut	0.25	64.44174	5.34151	40328	147711
212	1	0	2	18/05/2018	9:10:00 AM	4902	NA	forest	clearcut	0	10	10	0	0	70	10	0	100	yes	yes	1	clearcut	open	open	forest	0.25	14.23031	8.86549	73188	59321
213	1	1	0	18/05/2018	9:03:00 AM	6712	NA	forest	plantation	0	100	0	0	0	0	0	0	100	no	no	2.5	forest	forest	open	forest	0.75	12.90892	64.37648	91905	29289
214	1	0	1	16/05/2018	8:10:00 AM	16527	NA	agriculture	pasture	95	0	0	0	0	0	0	5	100	no	no	0.2	hedge	forest	open	open	0.375	6.29085	165.88839	210977	11856
215	1	1	0	23/05/2018	8:16:00 AM	13891	NA	agriculture	pasture	90	0	10	0	0	0	0	0	100	no	no	0.5	hedge	forest	forest	hedge	0.75	16.90264	37.12647	147647	42052
216	1	2	0	24/05/2018	5:30:00 AM	6854	NA	forest	clearcut	20	0	0	70	0	0	10	0	100	no	no	1.5	forest	forest	clearcut	forest	0.75	22.61227	6.54615	85642	38001
217	1	1	1	22/05/2018	5:41:00 AM	42314	NA	forest	clearcut	10	10	0	0	5	0	65	10	100	no	yes	0.2	clearcut	clearcut	clearcut	forest	0.25	15.50031	4.01389	59678	138931
218	1	0	0	22/05/2018	6:32:00 AM	9762	NA	agriculture	pasture	75	0	10	5	5	0	0	5	100	no	no	0.5	forest	open	forest	open	0.5	16.84643	101.70837	93830	28124
219	1	0	0	31/05/2018	7:05:00 AM	32165	NA	agriculture	pasture	90	0	10	0	0	0	0	0	100	yes	no	0.5	forest	forest	forest	open	0.75	7.83259	30.15992	132432	49137
220	1	1	0	01/06/2018	6:17:00 AM	19041	NA	agriculture	pasture	85	0	15	0	0	0	0	0	100	no	no	0.5	hedge	forest	hedge	open	0.5	9.61855	128.88559	172335	10557
221	1	0	0	01/06/2018	6:21:00 AM	3079	NA	agriculture	pasture	100	0	0	0	0	0	0	0	100	no	no	0.2	hedge	open	hedge	hedge	0.375	71.16091	185.91814	144594	2880
222	1	1	0	03/06/2018	6:47:00 AM	25033	NA	forest	plantation	5	75	0	20	0	0	0	0	100	no	no	4	forest	forest	forest	forest	1	112.80461	380.35954	24265	0
223	1	0	0	25/05/2018	5:27:00 AM	12817	NA	agriculture	pasture	95	0	0	0	0	5	0	0	100	no	no	0.2	open	open	open	open	0	20.52792	21.07169	237188	21234
224	1	2	0	21/05/2018	7:30:00 AM	39810	NA	agriculture	arable	100	0	0	0	0	0	0	0	100	no	no	0.2	open	hedge	hedge	open	0.25	6.3278	144.65031	345236	7162
143231	1	1	0	22/05/2018	6:05:00 AM	11515	25/05/2008	forest	clearcut	0	40	20	20	20	0	0	0	100	no	no	2	clearcut	clearcut	forest	clearcut	0.25	22.88661	15.53265	31094	69808
