objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	propfl_250	propcc_250
944220	0	2	0	29/05/2018	7:30:00 AM	5503	03/06/2013	forest	clearcut	35	30	0	25	10	0	0	0	100	yes	yes	1.5	clearcut	forest	forest	forest	0.75	166.04844	6.30902	0.07	0.138504271
944221	0	0	0	29/05/2018	7:35:00 AM	7305	03/06/2013	forest	clearcut	35	30	0	25	10	0	0	0	100	yes	yes	1.5	clearcut	forest	forest	forest	0.75	73.7091	2.55415	0.16	0.09988053
944222	0	0	0	29/05/2018	5:45:00 AM	5576	03/06/2013	forest	clearcut	70	10	0	20	0	0	0	0	100	yes	yes	2	forest	forest	forest	forest	1	149.85855	711.88426	0.15	0.000137071
944223	0	2	0	05/06/2018	6:00:00 AM	50064	03/06/2013	forest	clearcut	10	30	0	50	10	0	0	0	100	no	yes	1.5	forest	forest	forest	clearcut	0.75	46.75351	12.93067	0.14	0.141334114
944570	0	1	0	29/05/2018	5:12:00 AM	7625	03/06/2013	forest	clearcut	0	50	0	50	0	0	0	0	100	no	no	5	forest	open	forest	forest	0.75	111.16907	272.6972	0.25	0.027793423
945449	0	3	0	22/05/2018	5:46:00 AM	50027	03/06/2013	forest	clearcut	10	30	0	50	0	10	0	0	100	no	yes	1.5	clearcut	forest	clearcut	forest	0.5	163.70633	0.21045	0.03	0.168716233
945469	0	0	3	21/05/2018	8:15:00 AM	51604	03/06/2013	forest	clearcut	10	0	0	70	10	0	0	10	100	no	yes	1.5	forest	forest	clearcut	forest	0.75	9.49352	5.13081	0.17	0.187722191
945470	0	0	0	21/05/2018	9:05:00 AM	22927	06/03/2013	forest	clearcut	10	25	0	60	5	0	0	0	100	no	yes	1.5	forest	forest	clearcut	clearcut	0.5	103.40121	10.3456	0.08	0.219292392
945824	0	0	0	23/05/2018	5:44:00 AM	3178	03/06/2013	forest	clearcut	0	0	0	95	0	0	0	5	100	no	yes	2.5	forest	forest	open	clearcut	0.5	558.42451	252.78026	0.08	0.119286693
945825	0	1	0	23/05/2018	5:32:00 AM	30520	03/06/2013	forest	clearcut	10	0	0	40	35	0	5	10	100	yes	yes	1.5	forest	open	forest	forest	0.75	548.40869	109.48253	0.08	0.070716651
945832	0	0	0	22/05/2018	5:40:00 AM	12166	06/03/2013	forest	clearcut	15	25	0	50	0	10	0	0	100	no	yes	1.5	forest	clearcut	clearcut	forest	0.5	334.35347	10.34523	0.03	0.236812909
945834	0	2	0	24/05/2018	7:18:00 AM	49221	03/06/2013	forest	clearcut	40	30	0	20	10	0	0	0	100	yes	no	1.5	forest	clearcut	open	clearcut	0.25	93.81068	91.03162	0.16	0.134638279
945836	0	1	0	21/05/2018	5:36:00 AM	20537	03/06/2013	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	2	clearcut	clearcut	clearcut	clearcut	0	335.88116	12.43689	0.01	0.487977007
945840	0	0	0	24/05/2018	6:45:00 AM	8260	03/06/2013	forest	clearcut	10	45	0	45	0	0	0	0	100	no	yes	2	open	forest	forest	forest	0.75	8.08415	69.6073	0.39	0.123632126
945841	0	0	0	24/05/2018	6:53:00 AM	3709	03/06/2013	forest	clearcut	15	35	0	30	5	0	15	0	100	no	no	1.5	forest	forest	forest	forest	1	133.51617	10.02305	0.18	0.217741903
945874	0	2	1	31/05/2018	6:22:00 AM	8777	03/06/2013	forest	clearcut	10	70	0	0	20	0	0	0	100	no	yes	2	forest	forest	forest	open	0.75	99.65943	326.7247	0.21	0.113511186
946187	0	0	0	21/05/2018	5:00:00 AM	30120	03/06/2013	forest	clearcut	50	25	0	10	15	0	0	0	100	yes	yes	1	forest	clearcut	forest	forest	0.75	542.4543	17.2642	0.03	0.243569196
946960	0	3	1	21/05/2018	5:59:00 AM	28899	03/06/2013	forest	clearcut	50	25	0	0	25	0	0	0	100	yes	no	1	clearcut	clearcut	open	clearcut	0	12.67158	10.47672	0.31	0.123323182
1037366	0	0	0	05/06/2018	6:59:00 AM	11538	03/06/2013	forest	clearcut	25	0	0	50	0	0	25	0	100	no	no	2	clearcut	forest	forest	forest	0.75	33.82623	177.93254	0.18	0.22089724
1255800	0	0	0	22/05/2018	5:56:00 AM	22246	09/07/2014	forest	clearcut	30	20	0	35	5	0	5	5	100	no	yes	1.5	forest	clearcut	clearcut	clearcut	0.25	399.35562	4.80829	0.00	0.407887398
1255801	0	0	0	25/05/2018	7:07:00 AM	10287	09/07/2014	forest	clearcut	10	20	0	60	10	0	0	0	100	no	yes	1.5	forest	forest	forest	clearcut	0.75	615.79831	226.37249	0.06	0.07950702
1256212	0	1	0	21/05/2018	5:25:00 AM	29755	09/07/2014	forest	clearcut	10	20	0	60	5	0	0	5	100	no	yes	2	clearcut	clearcut	forest	clearcut	0.25	263.60188	13.55093	0.01	0.425177324
1256214	0	0	0	25/05/2018	5:49:00 AM	6035	22/05/2014	forest	clearcut	35	0	5	30	0	30	0	0	100	no	no	0.5	open	open	forest	forest	0.5	12.90081	625.58163	0.48	0.090367743
1256215	0	1	0	25/05/2018	5:45:00 AM	8684	22/05/2014	forest	clearcut	60	0	10	10	0	20	0	0	100	yes	no	1	forest	forest	forest	clearcut	0.75	44.20339	767.36767	0.48	0.0820142
1256216	0	0	0	28/05/2018	7:36:00 AM	36175	09/07/2014	forest	clearcut	20	20	0	50	5	5	0	0	100	yes	yes	1	forest	forest	forest	forest	1	119.70572	129.13139	0.07	0.050512162
1256217	0	0	0	25/05/2018	6:47:00 AM	4157	09/07/2014	forest	clearcut	0	50	0	50	0	0	0	0	100	yes	yes	1.5	forest	forest	forest	forest	1	261.42444	278.54947	0.03	0.131075174
1256589	0	0	0	21/05/2018	5:20:00 AM	20752	09/07/2014	forest	clearcut	15	25	0	50	5	0	0	5	100	no	yes	2	clearcut	clearcut	forest	clearcut	0.25	266.28877	10.42563	0.02	0.357634635
1256590	0	1	0	21/05/2018	8:38:00 AM	32933	09/07/2014	forest	clearcut	20	20	0	40	10	5	0	5	100	no	yes	1.5	clearcut	clearcut	forest	clearcut	0.25	237.19147	11.28686	0.02	0.290725738
1256974	0	0	0	25/05/2018	7:10:00 AM	13281	09/07/2014	forest	clearcut	20	5	0	70	0	0	0	5	100	no	no	1.5	forest	clearcut	forest	forest	0.75	534.94448	274.15768	0.03	0.057505079
1482208	0	0	1	17/05/2018	6:16:00 AM	8000	08/09/2015	forest	clearcut	0	0	5	0	0	75	20	0	100	no	yes	0	forest	forest	forest	open	0.75	91.95306	218.20898	0.13	0.005433468
1496317	0	0	0	25/05/2018	6:18:00 AM	19127	09/07/2014	forest	clearcut	15	30	0	40	0	0	10	5	100	yes	yes	1	clearcut	forest	forest	forest	0.75	86.94691	332.96555	0.15	0.091589141
1496318	0	0	0	24/05/2018	5:39:00 AM	26159	09/07/2014	forest	clearcut	10	35	0	35	10	0	5	5	100	yes	yes	1.5	forest	forest	clearcut	clearcut	0.5	296.21652	11.68614	0.05	0.269770432
1496337	0	0	0	05/06/2018	7:27:00 AM	5633	09/07/2014	forest	clearcut	50	10	0	20	0	5	10	5	100	no	no	0.5	forest	forest	forest	forest	1	307.23484	303.46401	0.05	0.002837803
1496703	0	0	0	28/05/2018	8:24:00 AM	16304	09/07/2014	forest	clearcut	10	0	90	0	0	0	0	0	100	no	no	4	forest	clearcut	clearcut	forest	0.5	40.27015	5.0044	0.15	0.203074917
1496704	0	0	0	03/06/2018	6:14:00 AM	17981	09/07/2014	forest	clearcut	30	0	10	40	20	0	0	0	100	no	no	2	forest	forest	open	open	0.5	2.59551	116.08515	0.48	0.03066263
1496707	0	0	0	25/05/2018	6:59:00 AM	8537	09/07/2014	forest	clearcut	10	0	0	50	40	0	0	0	100	no	yes	1	forest	forest	forest	forest	1	663.82666	386.40969	0.03	0.07999494
1496712	0	0	0	05/06/2018	5:53:00 AM	12251	09/07/2014	forest	clearcut	15	5	0	35	35	0	0	10	100	yes	yes	1	clearcut	forest	clearcut	forest	0.5	299.86229	7.5624	0.09	0.231286642
1496714	0	0	2	29/05/2018	6:52:00 AM	26516	09/07/2014	forest	clearcut	30	0	0	35	20	5	10	0	100	no	yes	0.5	forest	open	clearcut	forest	0.5	695.2432	354.48139	0.15	0.147104717
1500100	0	0	0	31/05/2018	7:49:00 AM	22385	08/09/2015	forest	clearcut	60	20	0	15	0	0	0	5	100	no	yes	0.5	forest	forest	forest	forest	1	469.14672	161.86513	0.04	0.146564286
1500102	0	0	1	31/05/2018	6:32:00 AM	14151	08/09/2015	forest	clearcut	10	30	0	60	0	0	0	0	100	no	yes	1	forest	clearcut	forest	forest	0.75	146.1772	470.01327	0.06	0.117539726
1500105	0	2	3	23/05/2018	7:28:00 AM	65727	08/07/2014	forest	clearcut	30	15	0	50	0	5	0	0	100	yes	yes	1.5	forest	forest	forest	forest	1	191.72172	19.41193	0.06	0.159766797
1500107	0	0	0	24/05/2018	7:55:00 AM	7754	09/08/2015	forest	clearcut	10	15	0	10	0	15	45	5	100	no	no	0.5	clearcut	forest	open	open	0.25	6.03636	13.62752	0.36	0.153101999
1500120	0	1	1	23/05/2018	6:49:00 AM	10562	07/09/2015	forest	clearcut	25	25	0	40	0	5	0	5	100	no	yes	1.5	forest	clearcut	forest	clearcut	0.5	939.13077	15.8138	0.04	0.364117842
1500126	0	1	0	01/06/2018	5:52:00 AM	14943	07/09/2015	forest	clearcut	20	40	0	40	0	0	0	0	100	no	yes	1.5	forest	clearcut	forest	forest	0.75	148.0694	250.32156	0.07	0.090761119
1500127	0	0	0	01/06/2018	5:45:00 AM	3409	07/09/2015	forest	clearcut	10	45	0	30	0	15	0	0	100	no	no	1	forest	clearcut	forest	forest	0.75	63.42721	291.75783	0.22	0.111048619
1500128	0	0	0	01/06/2018	6:01:00 AM	15052	07/09/2015	forest	clearcut	40	15	10	20	0	15	0	0	100	yes	yes	1	forest	forest	forest	clearcut	0.75	35.81575	397.59593	0.17	0.067448466
1500129	0	0	0	01/06/2018	6:09:00 AM	2830	07/09/2015	forest	clearcut	10	45	0	30	0	10	0	5	100	yes	yes	1	forest	forest	forest	clearcut	0.75	22.5705	435.33933	0.30	0.136323382
1500140	0	0	0	28/05/2018	5:42:00 AM	3414	08/09/2015	forest	clearcut	15	30	0	20	25	0	5	5	100	no	yes	1	forest	forest	clearcut	clearcut	0.5	233.14408	13.78323	0.06	0.309680669
1500141	0	0	0	28/05/2018	5:42:00 AM	4854	08/09/2015	forest	clearcut	15	30	0	20	25	0	5	5	100	no	yes	2	forest	clearcut	clearcut	forest	0.5	342.5438	115.23207	0.03	0.28804653
1500152	0	0	0	21/05/2018	8:58:00 AM	24902	08/09/2015	forest	clearcut	15	0	0	0	80	0	0	5	100	no	yes	0.5	clearcut	forest	forest	clearcut	0.5	248.48288	11.85742	0.02	0.154986433
1500534	0	0	1	04/06/2018	6:14:00 AM	52166	08/09/2015	forest	clearcut	30	30	0	15	0	25	0	0	100	no	yes	1	clearcut	forest	forest	forest	0.75	727.91462	6.60833	0.01	0.170880566
1500542	0	0	0	23/05/2018	6:22:00 AM	10459	08/09/2015	forest	clearcut	40	0	0	10	30	0	15	5	100	no	yes	0.5	clearcut	forest	forest	forest	0.75	706.29271	40.67166	0.05	0.214255835
1500553	0	0	0	21/05/2018	5:30:00 AM	26188	08/09/2015	forest	clearcut	60	0	0	30	5	0	0	5	100	yes	yes	0.5	clearcut	clearcut	clearcut	forest	0.25	60.59704	9.12089	0.07	0.247721446
1500564	0	0	0	17/05/2018	5:04:00 AM	16342	08/09/2015	forest	clearcut	60	0	0	15	0	5	10	10	100	yes	yes	0.5	forest	forest	forest	forest	1	137.93233	146.04166	0.20	0.078398006
1500573	0	1	0	03/06/2018	5:50:00 AM	28461	08/09/2015	forest	clearcut	40	25	0	25	0	5	0	5	100	yes	yes	1.5	forest	forest	forest	clearcut	0.75	95.60444	70.56509	0.22	0.077722766
1500907	0	0	0	29/05/2018	7:15:00 AM	4598	08/09/2015	forest	clearcut	70	5	0	20	0	0	0	5	100	yes	yes	0.5	forest	forest	forest	forest	1	401.63109	25.31406	0.03	0.112108266
1500919	0	0	0	30/05/2018	6:30:00 AM	8009	08/09/2015	forest	clearcut	40	25	0	25	0	5	5	0	100	yes	yes	1	clearcut	forest	clearcut	forest	0.5	449.01443	303.13664	0.10	0.05092437
1500920	0	1	0	30/05/2018	6:23:00 AM	8680	08/09/2015	forest	clearcut	35	20	0	40	0	0	0	5	100	no	yes	1.5	clearcut	forest	forest	forest	0.75	309.00692	260.54547	0.17	0.047699632
1500923	0	0	0	18/05/2018	8:44:00 AM	96039	08/09/2015	forest	clearcut	60	10	0	15	0	0	5	10	100	yes	yes	0.5	clearcut	clearcut	forest	clearcut	0.25	69.9874	116.20893	0.10	0.213879507
1500937	0	0	0	22/05/2018	6:15:00 AM	14005	09/08/2015	forest	clearcut	25	25	0	20	10	0	15	5	100	no	no	1	clearcut	clearcut	clearcut	clearcut	0	215.87959	8.42313	0.10	0.363575607
1500944	0	0	0	24/05/2018	5:48:00 AM	12675	08/07/2014	forest	clearcut	25	10	0	35	10	5	5	10	100	yes	yes	1	forest	clearcut	forest	forest	0.75	353.85676	38.68605	0.03	0.240344693
1500945	0	0	0	16/05/2018	7:45:00 AM	21453	23/08/2015	forest	clearcut	60	0	0	20	10	5	0	5	100	yes	yes	1	forest	forest	forest	open	0.75	14.64664	146.74154	0.20	0.020363722
1500972	0	0	0	03/06/2018	7:15:00 AM	14162	08/09/2015	forest	clearcut	20	20	0	40	15	5	0	0	100	yes	yes	1.5	forest	forest	forest	forest	1	224.33418	28.05925	0.01	0.178337878
1501309	0	2	0	29/05/2018	7:20:00 AM	21042	08/09/2015	forest	clearcut	70	15	0	5	0	5	0	5	100	yes	yes	1	forest	forest	forest	forest	1	174.32248	17.66349	0.01	0.071061119
1501315	0	4	1	17/05/2018	7:19:00 AM	59369	08/09/2015	forest	clearcut	40	0	0	30	10	10	0	10	100	yes	yes	1	forest	open	open	open	0.25	8.72331	140.25041	0.38	0.031850942
1501316	0	0	0	30/05/2018	7:55:00 AM	5660	08/09/2015	forest	clearcut	60	20	0	15	0	0	0	5	100	no	yes	0.5	forest	clearcut	forest	forest	0.75	15.93057	8.71738	0.42	0.026011117
